,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,"Afghanistan, Islamic Republic of",304926.3555,345817.0254,427495.0799,517509.3194,607227.0341,711759.3077,836222.4734,1033591.406,1116827.082,1183039.11,1226569.799,1318478.329,1377535.353,1421410.747,...
1,Albania,804163.2102,872735.0989,965527.7601,1080675.931,1143936.458,1239644.585,1300624.08,1332810.989,1350052.636,1395304.632,1434306.511,1472479.127,1551281.326,1630906.996,...
2,Algeria,7562000,8501635.825,9352886.368,11043703.5,9968025.263,11991563.91,14589000,16209600,16647900,17228600,16712686,17514600,18575800,20259000,...
3,Angola,3222352,4209762,5006335,6643353.03,5577340.742,7701651.396,10500941.84,12224949.83,13195003.55,14323859,13950290.85,16549565.42,20262278.59,26777992.44,...
4,Anguilla,618.29,765.39,959.25,957.77,763.04,722.88,784.59,756.3,760.86,840.53,892.44,864.69,765.54,870.46,...
5,Antigua and Barbuda,2759.916496,3123.914691,3540.783561,3694.763816,3305.483136,3111.666487,3083.515872,3270.811601,3220.898551,3374.3,3609.1,3878.8,3963.55,4348.54,...
6,Argentina,582538.1729,715904.2718,896980.1741,1149646.091,1247929.269,1661720.926,2179024.104,2637913.848,3348308.488,4579086.426,5954510.896,8228159.557,10644778.8,14605790.35,...
7,"Armenia, Republic of",2242880.9,2656189.8,3149283.4,3568227.6,3141651,3460202.7,3777945.6,4000722,4555638.2,4828626.3,5043633.2,5067293.5,5564493.3,6005058.1,...
8,Aruba,4172.49,4339.7,4681.4,4914.3,4473.1,4279,4563.7,4536.8,4618.3,4742.5,4817.8,4738.5,4833.6,...,...
9,Australia,961696,1037682,1131412,1235108,1261632,1363158,1467493,1515294,1568121,1614001,1640802,1705251,1807929,1897045,...
10,Austria,254075.03,267824.45,283977.97,293761.91,288044.02,295896.64,310128.66,318653.04,323910.2,333146.07,344269.23,357299.71,370295.77,385711.94,398464.827
11,"Azerbaijan, Republic of",12522.5,18746.2,28360.5,40137.2,35601.5,42465,52082,54743.7,58182,59014.1,54380,60425.2,70337.8,79797.3,...
12,"Bahamas, The",9836.195058,10167.25411,10618.34553,10525.99822,9981.95958,10095.76312,10070.45217,10720.49683,10562.72521,10913.25552,11752.32163,11938.44995,12150.40964,12424.52429,...
13,"Bahrain, Kingdom of",6004.266273,6957.9,8170.47,9667.3,8624.76,9668.2,10820,11561.75,12234.84,12553.78,11703.31,12117.91,13282.55,...,...
14,Bangladesh,4562196729,5160683000,5892410500,6668770500,7513052500,8566837500,9855164000,11270636000,12712988000,14297383000,16243329500,18543395500,21131482000,24094782581,...
15,Barbados,7639.189456,8434.901605,9348.014905,9569.850158,8931.314629,9059.856604,9315.398924,9220.19199,9354.496579,9392.688702,9430.00722,9660.014705,9956.307778,10173.38659,...
16,Belarus,6506.71,7926.7,9716.53,12979.08,13744.22,17046.58,30724.5,54761.67,67068.85,80579.27,89909.81,94949,105748.2,122319.7,...
17,Belgium,310037.6,325151.5,343618.9,351743.1,346472.8,363140.1,375967.8,386174.7,392880,403003.3,416701.4,430372.1,446364.9,459819.8,...
18,Belize,2228.405389,2434.884294,2581.085118,2737.250276,2670.435021,2793.463433,2973.191517,3127.655717,3216.884298,3385.911511,3525.000877,3613.292518,3725.229598,...,...
19,Benin,3462850.974,3674799.894,3909982.232,4365329.921,4580012.184,4718033.729,5039212.52,5688291.393,6182559.16,6559332.79,6732814,7005230,7375302.198,7922004.056,...
20,Bermuda,...,...,...,6085.19,5983.691,5945.28,5736.382,5668.911,5653.432,5672.069,5843.927,...,...,...,...
21,Bhutan,33978.8392,38392.82577,45065.06211,52100.44836,57982.42879,66858.60203,78723.32449,91201.48143,101415.6502,112462.0471,125813.3012,140379.8903,159742.5993,...,...
22,Bolivia,77023.81735,91747.7953,103009.1824,120693.7642,121726.7452,137875.568,166231.5629,187153.8776,211856.0317,228003.6592,228031.3699,234533.182,259184.7174,...,...
23,Bosnia and Herzegovina,...,...,...,25519.3289,24798.51945,25364.95257,26231.26199,26222.70977,26778.75416,27358.70992,28589.05266,29904.46,31376.23721,32778.40318,...
24,Botswana,50752.2,59106.8,67152.7,74720.9,73462.4,86867.35455,104979.7751,109870.4211,125158.3163,145868.6423,146066.1889,170563.6298,180102.0718,189868.5038,...
25,Brazil,2170584.504,2409449.922,2720262.938,3109803.089,3333039.355,3885847,4376382,4814760,5331618.999,5778953,5995787,6269328,6583318.999,6889176.083,...
26,Brunei Darussalam,17610.6722,20236.86841,20460.87603,22681.12701,17298.11424,18689.78289,23302.57551,23802.3062,22638.7829,21663.59318,17778.00738,15747.72305,16747.43613,18300.66051,...
27,Bulgaria,47017.239,53608.436,63454.89,72790.342,73147.248,74406.713,80681.918,82209.022,81919.394,83857.173,89332.814,95091.969,102307.942,109694.805,...
28,Burkina Faso,2882208,3032868.8,3245246,3747969,3951810,4447570,5060322,5700578,5904455.512,6119953.198,6162492,6443756.316,7177338.882,7849086.527,...
29,Burundi,1208244,1309900,1467231,1911139,2184177,2501047,2819534,3365810,3997316.831,4538220.801,4723455.21,5192318.545,5872283.607,6183316.537,...
30,Cabo Verde,96690.17322,108722.3654,121973.7248,134698.3606,135879.0836,138568.5175,147924.1706,150351.2809,153723.1726,154435.7431,158699.1143,165782.1763,173097.4012,184661.3381,...
31,Cambodia,25754291.42,29849484.83,35042180.74,41968385.4,43056731.75,47047985.23,52068692.72,56649673.05,61413701.06,67484868.69,73422701.56,81241866.02,89655850.75,...,...
32,Cameroon,9464932,10121085,10718929,11826440,12285308,12948432,13843139,14858604,15981280,17276469,18285382,19344838,20328363,...,...
33,Canada,1421572,1496572,1577662,1657042,1571334,1666047,1774063,1827202,1902247,1994892,1990439,2028223,2141508,2219061,...
34,Cayman Islands,...,2448.88,2637.06,2657.9,2528.86,2472.72,2519.26,2580.95,2651.53,...,...,...,...,...,...
35,Central African Republic,705415.4689,763713.4303,813586.8955,889060,935747,983628,1036028.667,1107694,750231.9608,841938.7792,936723.9728,1041396.334,1125164.657,...,...
36,Chad,3518122,3892340.559,4157425.937,4652385.71,4385555.775,5290607.782,5742404.328,6332447.356,6417737.783,6912490.124,6474072.97,5984079.807,5746476.275,...,...
37,Chile,68831705.43,82080219.85,90702903.29,93854108.41,96686356.86,111508610.7,122006090.4,129947342.3,137876215.8,148599453.9,159553348.3,169469507,180211289.7,191248710.9,...
38,"China, P.R.: Hong Kong",1412125,1503351,1650756,1707487,1659245,1776332,1934430,2037059,2138305,2260005,2398280,2490617,2662836,2842883,...
39,"China, P.R.: Macao",96872,118338,147382,167760,171467,225051,294347,343818,411865,442070,362213,362876,407328,444666,...
40,"China, P.R.: Mainland",18919038.68,22120650.31,27169932.44,31993584.73,34988333.55,41070826.38,48603778.11,54098889.05,59696286.18,64718168.09,69910944.14,74563240.43,81526030,88442600,...
41,Colombia,336940937.7,380591648.1,427518881.8,475617406,501781836.7,543187689.8,618117720.6,665883659,713626705.2,762903000,804692000,863782000,920194000,978477060.6,...
42,Comoros,259355.6803,269766.8814,285627,306288,319332,336947.2655,361596.4249,388983.7763,413476.6296,425712.9868,438331,456756,470734,492860,...
43,"Congo, Democratic Republic of",5670065,6767519.545,8648878.514,11067568.51,15101187.9,19536676.93,23759424.58,26954556.93,30051179.4,33223988.46,35111225.97,37517392.39,55676093.13,76495500.37,...
44,"Congo, Republic of",3210700,4042600,3563600,4556900,4409732.785,6082519.845,6982455.207,6971922.577,6927241.619,6959940.092,5056481.706,4615600,5188275.735,6475853.475,...
45,Costa Rica,9532875.007,11555641.5,13816350.76,16109612.04,17521034.88,19596936.68,21370733.29,23371405.92,24860943.5,27226883.44,29281373.31,31136210.5,33014818.77,34693417.65,...
46,Côte d'Ivoire,9011755,9307908,9750029,10848040,11463500,12324723,12112687,13677317,15445759,17461003,19595381,20931397,22150799,23899782.66,...
